STURGEON,Acipenser
SPEARNOSE.POACHER,Agonopsis vulsa
STUR.POACHER,Agonus acipenserinus
O.U.POACHER,Agonidae
TUBENOSE,Pallasina barbata
LANCE.a,Ammodytes hexapterus
LANCE.pl,Ammodytes hexapterus
LANCE.u,Ammodytes hexapterus
TUBESNT,Aulorhynchus flavidus
MIDSHIPMAN,Porichthys notatus
PACIFIC.DAB,Citharichthys sordidus
SPECKLED.DAB,Citharichthys stigmaeus
SUCKER,Catostomidae
PUMPKN,Lepomis gibbosus
BLUEGILL,Lepomis macrochirus
BASS,Micropterus
O.U.SUNFISH,Centrarchidae
CRAPPIE,Pomoxis
SHAD,Alosa sapidissima
HERR.a,Clupea pallasii
HERR.pl,Clupea pallasii
HERR.u,Clupea pallasii
NANCHOV.a,Engraulis mordax
NANCHOV.pl,Engraulis mordax
SARDINE,Sardinops sagax
CORALLINE.SCULP,Artedius corallinus
PADD.SCULP,Artedius fenestralis
ROSYLIP.SCULP,Ascelichthys rhodorus
SILVERSPOTTED.SC,Blepsias cirrhosus
ROUGHBACK.SCULP,Chitonotus pugetensis
SHARPNOSE,Clinocottus acuticeps
CALICO.SCULP,Clinocottus embryum
COAST.SCULP,Cottus aleuticus
PRICKLY.SCULP,Cottus asper
SLIMY.SCULP,Cottus cognatus
BUFF,Enophrys bison
FW.SCULP,Cottus
SOFT.SCULP,Gilbertidia sigalutes
RED.IRISH.LORD,Hemilepidotus hemilepidotus
BROWN.IR.LORD,Hemilepidotus spinosus
NORTH.SCULP,Icelinus borealis
STAG,Leptocottus armatus
GRT.SCULP,Myoxocephalus polyacanthocephalus
SAILFIN,Nautichthys oculofasciatus
TIDEPOOL.SCULP,Oligocottus maculosus
O.U.SCULP,Cottidae
TADPOLE.SCULP,Psychrolutes paradoxus
GRUNT.SCULP,Rhamphocottus richardsonii
CABEZON,Scorpaenichthys marmoratus
MANACLED.SCULP,Synchirus gilli
LUMP,Eumicrotremus orbis
SNAILFISH,Liparididae
LK.CHUB,Couesius plumbeus
PEAMTH,Mylocheilus caurinus
O.U.CHUB,unknown
LONGNOSE.DACE,Rhinichthys cataractae
DACE,Rhinichthys
REDSIDE.SHINER,Richardsonius balteatus
KELP.PERCH,Brachyistius frenatus
SHINER,Cymatogaster aggregata
STRIPED,Embiotoca lateralis
O.U.PERCH,Embiotocidae
WHITE.SEAPERCH,Phanerodon furcatum
PILE.PERCH,Damalichthys vacca
PACIFIC.COD,Gadus macrocephalus
gadid.unk,Gadidae
TOMCOD,Microgadus proximus
O.U.COD,unknown
POLLOCK,Theragra chalcogramma
STICKL,Gasterosteus aculeatus
ARROW.GOBY,Clevelandia ios
BAY.GOBY,Lepidogobius lepidus
KELP.GRNLNG,Hexagrammos decagrammus
ROCK.GREENLING,Hexagrammos lagocephalus
MASK.GRNLNG,Hexagrammos octogrammus
O.U.GREENLING,Hexagrammidae
WHITESPOT.GR,Hexagrammos stelleri
LINGCOD,Ophiodon elongatus
PAINTED.GRNLING,Oxylebius pictus
BRN.BULLHEAD,Ameiurus nebulosus
DUNGI.u.size,Metacarcinus magister
DUNGI.small,Metacarcinus magister
DUNGI.legal,Metacarcinus magister
RED.ROCK.CRAB,Cancer productus
O.U.CRAB,Brachyura
SHRIMP,Decapoda - shrimp
FW.MUSSEL,Unionoida
SHORE.CRAB,Hemigrapsus oregonensis
KELP.CRAB,Pugettia producta
LANTERNFSH,Myctophidae
BROTULA,Brosmophycis marginata
SMELT.j,Hypomesus pretiosus
SMELT.a,Hypomesus pretiosus
SMELT.pl,Hypomesus pretiosus
SMELT.u,Hypomesus pretiosus
LONGFIN.SMELT,Spirinchus thaleichthys
EULACHON,Thaleichthys pacificus
HERMIT.CR,Paguroidea
DECORATOR.CR,Majoidea
Y.PERCH,Perca flavescens
LAMP,Lampetra
PENPT.GUNL,Apodichthys flavidus
LONGFIN.GUN,Pholis clemensi
CRES.GUNL,Pholis laeta
SADLBCK.GUNL,Pholis ornata
RED.GUNNEL,Pholis schultzi
GUNNEL,Pholididae
ROCKWEED.GUN,Xererpes fucorum
GUNNL.PRICK,unknown
HYBRID.SOLE,Inopsetta ischyra
BUTTER.SOLE,Isopsetta isolepis
ROCK.SOLE,Lepidopsetta bilineata
DOVER.SOLE,Microstomus pacificus
ENG.SOLE,Parophrys vetulus
STARRY,Platichthys stellatus
CO.SOLE,Oncorhynchus kisutch
SAND.SOLE,Psettichthys melanostictus
O.U.FLAT,Pleuronectiformes
O.U.FLAT.pl,Pleuronectiformes
O.U.SKATE,Rajidae
CT.adult,Oncorhynchus clarkii
CT.0.,Oncorhynchus clarkii
CT.1..,Oncorhynchus clarkii
PK.ADULT,Oncorhynchus gorbuscha
PK.0.,Oncorhynchus gorbuscha
CH.0..em,Oncorhynchus keta
CH.ADULT,Oncorhynchus keta
CH.0.,Oncorhynchus keta
CO.ADULT.ucwt,Oncorhynchus kisutch
CO.ADULT.em,Oncorhynchus kisutch
CO.ADULT.nem,Oncorhynchus kisutch
CO.0.,Oncorhynchus kisutch
CO.1..ucwt,Oncorhynchus kisutch
CO.1..em,Oncorhynchus kisutch
CO.1..nem,Oncorhynchus kisutch
RB.0.,Oncorhynchus mykiss
STHD.em,Oncorhynchus mykiss
STHD.nem,Oncorhynchus mykiss
RB.1...em,Oncorhynchus mykiss
RB.1...nem,Oncorhynchus mykiss
TROUT.0.,Salmonidae
SOCK.ADULT,Oncorhynchus nerka
SOCK.0.,Oncorhynchus nerka
SOCK.1...em,Oncorhynchus nerka
SOCK.1...nem,Oncorhynchus nerka
CK.ADULT.ucwt,Oncorhynchus tshawytscha
CK.ADULT.em,Oncorhynchus tshawytscha
CK.ADULT.nem,Oncorhynchus tshawytscha
CK.0..ucwt,Oncorhynchus tshawytscha
CK.0..em,Oncorhynchus tshawytscha
CK.0..nem,Oncorhynchus tshawytscha
CK.1..ucwt,Oncorhynchus tshawytscha
CK.1..em,Oncorhynchus tshawytscha
CK.1..nem,Oncorhynchus tshawytscha
WF,unknown
ATLANTIC.ADULT,Salmo salar
ATLANTIC.0.,Salmo salar
ATLANTIC.1..,Salmo salar
DV.BT,unknown
ROCKFISH,Sebastes
O.U.ROCKFISH,Sebastes
COPPER.ROCKFSH,Sebastes caurinus
SPLITNOSE.ROCKFSH,Sebastes diploproa
QUILLBACK.ROCKFISH,Sebastes maliger
DOGFISH,Squalus acanthias
HIGH.COCKSCOMB,Anoplarchus purpurescens
SNAKE,Lumpenus sagitta
BLK.PRICKLE,Xiphister atropurpureus
POMPANO,Peprilus simillimus
PIPEFISH,Syngnathus leptorhynchus
SANDFISH,Trichodon trichodon
O.U.FISH,Actinopterygii
O.U.LARVAL.FISH,Actinopterygii
O.U.fish.pl,Actinopterygii