"","season","site","species","count"
"1","Summer","Strawberry Point North","Oncorhynchus tshawytscha",5
"2","Summer","Strawberry Point North","Oncorhynchus nerka",3
"3","Summer","Strawberry Point North","Oncorhynchus kisutch",1
"4","Summer","Strawberry Point North","Oncorhynchus gorbuscha",3
"5","Summer","Strawberry Point North","Ammodytes hexapterus",1
"6","Summer","Strawberry Point North","Clupea pallasii",3
"7","Summer","Strawberry Point North","Engraulis mordax",1
"8","Summer","Strawberry Point North","Cymatogaster aggregata",3
"9","Summer","Strawberry Point North","Gasterosteus aculeatus",2
"10","Summer","Strawberry Point North","Hypomesus pretiosus",1
"11","Summer","Strawberry Point North","Mallotus villosus",1
"12","Summer","Strawberry Point North","Oncorhynchus tshawytscha",2
"13","Summer","Strawberry Point North","Oncorhynchus nerka",4
"14","Summer","Strawberry Point North","Oncorhynchus kisutch",2
"15","Summer","Strawberry Point North","Oncorhynchus gorbuscha",0
"16","Summer","Strawberry Point North","Ammodytes hexapterus",3
"17","Summer","Strawberry Point North","Clupea pallasii",9
"18","Summer","Strawberry Point North","Engraulis mordax",1
"19","Summer","Strawberry Point North","Cymatogaster aggregata",3
"20","Summer","Strawberry Point North","Gasterosteus aculeatus",1
"21","Summer","Strawberry Point North","Hypomesus pretiosus",6
"22","Summer","Strawberry Point North","Mallotus villosus",6
"23","Summer","Strawberry Point North","Oncorhynchus tshawytscha",1
"24","Summer","Strawberry Point North","Oncorhynchus nerka",7
"25","Summer","Strawberry Point North","Oncorhynchus kisutch",9
"26","Summer","Strawberry Point North","Oncorhynchus gorbuscha",15
"27","Summer","Strawberry Point North","Ammodytes hexapterus",26
"28","Summer","Strawberry Point North","Clupea pallasii",2
"29","Summer","Strawberry Point North","Engraulis mordax",0
"30","Summer","Strawberry Point North","Cymatogaster aggregata",14
"31","Summer","Strawberry Point North","Gasterosteus aculeatus",2
"32","Summer","Strawberry Point North","Hypomesus pretiosus",5
"33","Summer","Strawberry Point North","Mallotus villosus",3
"34","Summer","Brown Point","Oncorhynchus tshawytscha",8
"35","Summer","Brown Point","Oncorhynchus nerka",2
"36","Summer","Brown Point","Oncorhynchus kisutch",12
"37","Summer","Brown Point","Oncorhynchus gorbuscha",12
"38","Summer","Brown Point","Ammodytes hexapterus",8
"39","Summer","Brown Point","Clupea pallasii",1
"40","Summer","Brown Point","Engraulis mordax",5
"41","Summer","Brown Point","Cymatogaster aggregata",7
"42","Summer","Brown Point","Gasterosteus aculeatus",7
"43","Summer","Brown Point","Hypomesus pretiosus",1
"44","Summer","Brown Point","Mallotus villosus",3
"45","Summer","Brown Point","Oncorhynchus tshawytscha",2
"46","Summer","Brown Point","Oncorhynchus nerka",9
"47","Summer","Brown Point","Oncorhynchus kisutch",5
"48","Summer","Brown Point","Oncorhynchus gorbuscha",9
"49","Summer","Brown Point","Ammodytes hexapterus",12
"50","Summer","Brown Point","Clupea pallasii",4
"51","Summer","Brown Point","Engraulis mordax",0
"52","Summer","Brown Point","Cymatogaster aggregata",4
"53","Summer","Brown Point","Gasterosteus aculeatus",0
"54","Summer","Brown Point","Hypomesus pretiosus",1
"55","Summer","Brown Point","Mallotus villosus",21
"56","Summer","Brown Point","Oncorhynchus tshawytscha",4
"57","Summer","Brown Point","Oncorhynchus nerka",1
"58","Summer","Brown Point","Oncorhynchus kisutch",1
"59","Summer","Brown Point","Oncorhynchus gorbuscha",3
"60","Summer","Brown Point","Ammodytes hexapterus",1
"61","Summer","Brown Point","Clupea pallasii",2
"62","Summer","Brown Point","Engraulis mordax",6
"63","Summer","Brown Point","Cymatogaster aggregata",6
"64","Summer","Brown Point","Gasterosteus aculeatus",1
"65","Summer","Brown Point","Hypomesus pretiosus",0
"66","Summer","Brown Point","Mallotus villosus",1
"67","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus tshawytscha",2
"68","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus nerka",1
"69","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus kisutch",0
"70","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus gorbuscha",5
"71","Summer","Random 1 2016-05-31 Utsalady Point","Ammodytes hexapterus",13
"72","Summer","Random 1 2016-05-31 Utsalady Point","Clupea pallasii",0
"73","Summer","Random 1 2016-05-31 Utsalady Point","Engraulis mordax",0
"74","Summer","Random 1 2016-05-31 Utsalady Point","Cymatogaster aggregata",1
"75","Summer","Random 1 2016-05-31 Utsalady Point","Gasterosteus aculeatus",0
"76","Summer","Random 1 2016-05-31 Utsalady Point","Hypomesus pretiosus",14
"77","Summer","Random 1 2016-05-31 Utsalady Point","Mallotus villosus",4
"78","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus tshawytscha",10
"79","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus nerka",0
"80","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus kisutch",12
"81","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus gorbuscha",2
"82","Summer","Random 1 2016-05-31 Utsalady Point","Ammodytes hexapterus",0
"83","Summer","Random 1 2016-05-31 Utsalady Point","Clupea pallasii",2
"84","Summer","Random 1 2016-05-31 Utsalady Point","Engraulis mordax",5
"85","Summer","Random 1 2016-05-31 Utsalady Point","Cymatogaster aggregata",1
"86","Summer","Random 1 2016-05-31 Utsalady Point","Gasterosteus aculeatus",6
"87","Summer","Random 1 2016-05-31 Utsalady Point","Hypomesus pretiosus",8
"88","Summer","Random 1 2016-05-31 Utsalady Point","Mallotus villosus",17
"89","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus tshawytscha",2
"90","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus nerka",3
"91","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus kisutch",10
"92","Summer","Random 1 2016-05-31 Utsalady Point","Oncorhynchus gorbuscha",2
"93","Summer","Random 1 2016-05-31 Utsalady Point","Ammodytes hexapterus",2
"94","Summer","Random 1 2016-05-31 Utsalady Point","Clupea pallasii",12
"95","Summer","Random 1 2016-05-31 Utsalady Point","Engraulis mordax",4
"96","Summer","Random 1 2016-05-31 Utsalady Point","Cymatogaster aggregata",2
"97","Summer","Random 1 2016-05-31 Utsalady Point","Gasterosteus aculeatus",4
"98","Summer","Random 1 2016-05-31 Utsalady Point","Hypomesus pretiosus",10
"99","Summer","Random 1 2016-05-31 Utsalady Point","Mallotus villosus",11
"100","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus tshawytscha",0
"101","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus nerka",5
"102","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus kisutch",0
"103","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus gorbuscha",2
"104","Summer","Random 2 2016-05-31 Maple Grove","Ammodytes hexapterus",2
"105","Summer","Random 2 2016-05-31 Maple Grove","Clupea pallasii",1
"106","Summer","Random 2 2016-05-31 Maple Grove","Engraulis mordax",34
"107","Summer","Random 2 2016-05-31 Maple Grove","Cymatogaster aggregata",0
"108","Summer","Random 2 2016-05-31 Maple Grove","Gasterosteus aculeatus",17
"109","Summer","Random 2 2016-05-31 Maple Grove","Hypomesus pretiosus",3
"110","Summer","Random 2 2016-05-31 Maple Grove","Mallotus villosus",2
"111","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus tshawytscha",13
"112","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus nerka",1
"113","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus kisutch",1
"114","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus gorbuscha",0
"115","Summer","Random 2 2016-05-31 Maple Grove","Ammodytes hexapterus",0
"116","Summer","Random 2 2016-05-31 Maple Grove","Clupea pallasii",15
"117","Summer","Random 2 2016-05-31 Maple Grove","Engraulis mordax",27
"118","Summer","Random 2 2016-05-31 Maple Grove","Cymatogaster aggregata",8
"119","Summer","Random 2 2016-05-31 Maple Grove","Gasterosteus aculeatus",5
"120","Summer","Random 2 2016-05-31 Maple Grove","Hypomesus pretiosus",7
"121","Summer","Random 2 2016-05-31 Maple Grove","Mallotus villosus",1
"122","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus tshawytscha",0
"123","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus nerka",3
"124","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus kisutch",2
"125","Summer","Random 2 2016-05-31 Maple Grove","Oncorhynchus gorbuscha",1
"126","Summer","Random 2 2016-05-31 Maple Grove","Ammodytes hexapterus",1
"127","Summer","Random 2 2016-05-31 Maple Grove","Clupea pallasii",3
"128","Summer","Random 2 2016-05-31 Maple Grove","Engraulis mordax",2
"129","Summer","Random 2 2016-05-31 Maple Grove","Cymatogaster aggregata",4
"130","Summer","Random 2 2016-05-31 Maple Grove","Gasterosteus aculeatus",3
"131","Summer","Random 2 2016-05-31 Maple Grove","Hypomesus pretiosus",16
"132","Summer","Random 2 2016-05-31 Maple Grove","Mallotus villosus",1
"133","Summer","Mariner's Bluff","Oncorhynchus tshawytscha",1
"134","Summer","Mariner's Bluff","Oncorhynchus nerka",5
"135","Summer","Mariner's Bluff","Oncorhynchus kisutch",0
"136","Summer","Mariner's Bluff","Oncorhynchus gorbuscha",1
"137","Summer","Mariner's Bluff","Ammodytes hexapterus",1
"138","Summer","Mariner's Bluff","Clupea pallasii",6
"139","Summer","Mariner's Bluff","Engraulis mordax",6
"140","Summer","Mariner's Bluff","Cymatogaster aggregata",2
"141","Summer","Mariner's Bluff","Gasterosteus aculeatus",0
"142","Summer","Mariner's Bluff","Hypomesus pretiosus",5
"143","Summer","Mariner's Bluff","Mallotus villosus",4
"144","Summer","Mariner's Bluff","Oncorhynchus tshawytscha",0
"145","Summer","Mariner's Bluff","Oncorhynchus nerka",19
"146","Summer","Mariner's Bluff","Oncorhynchus kisutch",7
"147","Summer","Mariner's Bluff","Oncorhynchus gorbuscha",0
"148","Summer","Mariner's Bluff","Ammodytes hexapterus",3
"149","Summer","Mariner's Bluff","Clupea pallasii",4
"150","Summer","Mariner's Bluff","Engraulis mordax",5
"151","Summer","Mariner's Bluff","Cymatogaster aggregata",4
"152","Summer","Mariner's Bluff","Gasterosteus aculeatus",1
"153","Summer","Mariner's Bluff","Hypomesus pretiosus",0
"154","Summer","Mariner's Bluff","Mallotus villosus",0
"155","Summer","Mariner's Bluff","Oncorhynchus tshawytscha",2
"156","Summer","Mariner's Bluff","Oncorhynchus nerka",9
"157","Summer","Mariner's Bluff","Oncorhynchus kisutch",2
"158","Summer","Mariner's Bluff","Oncorhynchus gorbuscha",1
"159","Summer","Mariner's Bluff","Ammodytes hexapterus",1
"160","Summer","Mariner's Bluff","Clupea pallasii",2
"161","Summer","Mariner's Bluff","Engraulis mordax",4
"162","Summer","Mariner's Bluff","Cymatogaster aggregata",4
"163","Summer","Mariner's Bluff","Gasterosteus aculeatus",0
"164","Summer","Mariner's Bluff","Hypomesus pretiosus",2
"165","Summer","Mariner's Bluff","Mallotus villosus",7
"166","Summer","Brown Slough Outside","Oncorhynchus tshawytscha",0
"167","Summer","Brown Slough Outside","Oncorhynchus nerka",1
"168","Summer","Brown Slough Outside","Oncorhynchus kisutch",0
"169","Summer","Brown Slough Outside","Oncorhynchus gorbuscha",1
"170","Summer","Brown Slough Outside","Ammodytes hexapterus",0
"171","Summer","Brown Slough Outside","Clupea pallasii",4
"172","Summer","Brown Slough Outside","Engraulis mordax",1
"173","Summer","Brown Slough Outside","Cymatogaster aggregata",0
"174","Summer","Brown Slough Outside","Gasterosteus aculeatus",0
"175","Summer","Brown Slough Outside","Hypomesus pretiosus",2
"176","Summer","Brown Slough Outside","Mallotus villosus",1
"177","Summer","Brown Slough Outside","Oncorhynchus tshawytscha",1
"178","Summer","Brown Slough Outside","Oncorhynchus nerka",4
"179","Summer","Brown Slough Outside","Oncorhynchus kisutch",5
"180","Summer","Brown Slough Outside","Oncorhynchus gorbuscha",8
"181","Summer","Brown Slough Outside","Ammodytes hexapterus",4
"182","Summer","Brown Slough Outside","Clupea pallasii",2
"183","Summer","Brown Slough Outside","Engraulis mordax",0
"184","Summer","Brown Slough Outside","Cymatogaster aggregata",12
"185","Summer","Brown Slough Outside","Gasterosteus aculeatus",2
"186","Summer","Brown Slough Outside","Hypomesus pretiosus",0
"187","Summer","Brown Slough Outside","Mallotus villosus",4
"188","Summer","Brown Slough Outside","Oncorhynchus tshawytscha",1
"189","Summer","Brown Slough Outside","Oncorhynchus nerka",1
"190","Summer","Brown Slough Outside","Oncorhynchus kisutch",2
"191","Summer","Brown Slough Outside","Oncorhynchus gorbuscha",5
"192","Summer","Brown Slough Outside","Ammodytes hexapterus",0
"193","Summer","Brown Slough Outside","Clupea pallasii",1
"194","Summer","Brown Slough Outside","Engraulis mordax",0
"195","Summer","Brown Slough Outside","Cymatogaster aggregata",0
"196","Summer","Brown Slough Outside","Gasterosteus aculeatus",4
"197","Summer","Brown Slough Outside","Hypomesus pretiosus",4
"198","Summer","Brown Slough Outside","Mallotus villosus",1
"199","Summer","Brown Slough Dike Side","Oncorhynchus tshawytscha",11
"200","Summer","Brown Slough Dike Side","Oncorhynchus nerka",12
"201","Summer","Brown Slough Dike Side","Oncorhynchus kisutch",3
"202","Summer","Brown Slough Dike Side","Oncorhynchus gorbuscha",11
"203","Summer","Brown Slough Dike Side","Ammodytes hexapterus",2
"204","Summer","Brown Slough Dike Side","Clupea pallasii",6
"205","Summer","Brown Slough Dike Side","Engraulis mordax",2
"206","Summer","Brown Slough Dike Side","Cymatogaster aggregata",10
"207","Summer","Brown Slough Dike Side","Gasterosteus aculeatus",1
"208","Summer","Brown Slough Dike Side","Hypomesus pretiosus",5
"209","Summer","Brown Slough Dike Side","Mallotus villosus",4
"210","Summer","Brown Slough Dike Side","Oncorhynchus tshawytscha",1
"211","Summer","Brown Slough Dike Side","Oncorhynchus nerka",0
"212","Summer","Brown Slough Dike Side","Oncorhynchus kisutch",1
"213","Summer","Brown Slough Dike Side","Oncorhynchus gorbuscha",4
"214","Summer","Brown Slough Dike Side","Ammodytes hexapterus",2
"215","Summer","Brown Slough Dike Side","Clupea pallasii",2
"216","Summer","Brown Slough Dike Side","Engraulis mordax",1
"217","Summer","Brown Slough Dike Side","Cymatogaster aggregata",10
"218","Summer","Brown Slough Dike Side","Gasterosteus aculeatus",3
"219","Summer","Brown Slough Dike Side","Hypomesus pretiosus",8
"220","Summer","Brown Slough Dike Side","Mallotus villosus",4
"221","Summer","Brown Slough Dike Side","Oncorhynchus tshawytscha",2
"222","Summer","Brown Slough Dike Side","Oncorhynchus nerka",1
"223","Summer","Brown Slough Dike Side","Oncorhynchus kisutch",10
"224","Summer","Brown Slough Dike Side","Oncorhynchus gorbuscha",21
"225","Summer","Brown Slough Dike Side","Ammodytes hexapterus",1
"226","Summer","Brown Slough Dike Side","Clupea pallasii",0
"227","Summer","Brown Slough Dike Side","Engraulis mordax",1
"228","Summer","Brown Slough Dike Side","Cymatogaster aggregata",0
"229","Summer","Brown Slough Dike Side","Gasterosteus aculeatus",0
"230","Summer","Brown Slough Dike Side","Hypomesus pretiosus",9
"231","Summer","Brown Slough Dike Side","Mallotus villosus",3
"232","Summer","Ika Upper","Oncorhynchus tshawytscha",17
"233","Summer","Ika Upper","Oncorhynchus nerka",2
"234","Summer","Ika Upper","Oncorhynchus kisutch",1
"235","Summer","Ika Upper","Oncorhynchus gorbuscha",12
"236","Summer","Ika Upper","Ammodytes hexapterus",0
"237","Summer","Ika Upper","Clupea pallasii",1
"238","Summer","Ika Upper","Engraulis mordax",4
"239","Summer","Ika Upper","Cymatogaster aggregata",7
"240","Summer","Ika Upper","Gasterosteus aculeatus",3
"241","Summer","Ika Upper","Hypomesus pretiosus",10
"242","Summer","Ika Upper","Mallotus villosus",11
"243","Summer","Ika Upper","Oncorhynchus tshawytscha",3
"244","Summer","Ika Upper","Oncorhynchus nerka",13
"245","Summer","Ika Upper","Oncorhynchus kisutch",13
"246","Summer","Ika Upper","Oncorhynchus gorbuscha",3
"247","Summer","Ika Upper","Ammodytes hexapterus",6
"248","Summer","Ika Upper","Clupea pallasii",4
"249","Summer","Ika Upper","Engraulis mordax",2
"250","Summer","Ika Upper","Cymatogaster aggregata",11
"251","Summer","Ika Upper","Gasterosteus aculeatus",12
"252","Summer","Ika Upper","Hypomesus pretiosus",5
"253","Summer","Ika Upper","Mallotus villosus",3
"254","Winter1","Ika Upper","Oncorhynchus tshawytscha",6
"255","Winter1","Ika Upper","Oncorhynchus nerka",12
"256","Winter1","Ika Upper","Oncorhynchus kisutch",20
"257","Winter1","Ika Upper","Oncorhynchus gorbuscha",7
"258","Winter1","Ika Upper","Ammodytes hexapterus",9
"259","Winter1","Ika Upper","Clupea pallasii",1
"260","Winter1","Ika Upper","Engraulis mordax",5
"261","Winter1","Ika Upper","Cymatogaster aggregata",7
"262","Winter1","Ika Upper","Gasterosteus aculeatus",0
"263","Winter1","Ika Upper","Hypomesus pretiosus",2
"264","Winter1","Ika Upper","Mallotus villosus",2
"265","Winter1","Ika Lower","Oncorhynchus tshawytscha",7
"266","Winter1","Ika Lower","Oncorhynchus nerka",1
"267","Winter1","Ika Lower","Oncorhynchus kisutch",0
"268","Winter1","Ika Lower","Oncorhynchus gorbuscha",9
"269","Winter1","Ika Lower","Ammodytes hexapterus",7
"270","Winter1","Ika Lower","Clupea pallasii",5
"271","Winter1","Ika Lower","Engraulis mordax",1
"272","Winter1","Ika Lower","Cymatogaster aggregata",1
"273","Winter1","Ika Lower","Gasterosteus aculeatus",5
"274","Winter1","Ika Lower","Hypomesus pretiosus",2
"275","Winter1","Ika Lower","Mallotus villosus",7
"276","Winter1","Ika Lower","Oncorhynchus tshawytscha",1
"277","Winter1","Ika Lower","Oncorhynchus nerka",2
"278","Winter1","Ika Lower","Oncorhynchus kisutch",56
"279","Winter1","Ika Lower","Oncorhynchus gorbuscha",6
"280","Winter1","Ika Lower","Ammodytes hexapterus",1
"281","Winter1","Ika Lower","Clupea pallasii",1
"282","Winter1","Ika Lower","Engraulis mordax",6
"283","Winter1","Ika Lower","Cymatogaster aggregata",0
"284","Winter1","Ika Lower","Gasterosteus aculeatus",0
"285","Winter1","Ika Lower","Hypomesus pretiosus",1
"286","Winter1","Ika Lower","Mallotus villosus",6
"287","Winter1","Ika Lower","Oncorhynchus tshawytscha",10
"288","Winter1","Ika Lower","Oncorhynchus nerka",1
"289","Winter1","Ika Lower","Oncorhynchus kisutch",14
"290","Winter1","Ika Lower","Oncorhynchus gorbuscha",4
"291","Winter1","Ika Lower","Ammodytes hexapterus",42
"292","Winter1","Ika Lower","Clupea pallasii",1
"293","Winter1","Ika Lower","Engraulis mordax",3
"294","Winter1","Ika Lower","Cymatogaster aggregata",7
"295","Winter1","Ika Lower","Gasterosteus aculeatus",8
"296","Winter1","Ika Lower","Hypomesus pretiosus",1
"297","Winter1","Ika Lower","Mallotus villosus",8
"298","Winter1","Cattail","Oncorhynchus tshawytscha",8
"299","Winter1","Cattail","Oncorhynchus nerka",11
"300","Winter1","Cattail","Oncorhynchus kisutch",0
"301","Winter1","Cattail","Oncorhynchus gorbuscha",1
"302","Winter1","Cattail","Ammodytes hexapterus",1
"303","Winter1","Cattail","Clupea pallasii",2
"304","Winter1","Cattail","Engraulis mordax",10
"305","Winter1","Cattail","Cymatogaster aggregata",2
"306","Winter1","Cattail","Gasterosteus aculeatus",1
"307","Winter1","Cattail","Hypomesus pretiosus",0
"308","Winter1","Cattail","Mallotus villosus",3
"309","Winter1","Cattail","Oncorhynchus tshawytscha",2
"310","Winter1","Cattail","Oncorhynchus nerka",1
"311","Winter1","Cattail","Oncorhynchus kisutch",3
"312","Winter1","Cattail","Oncorhynchus gorbuscha",1
"313","Winter1","Cattail","Ammodytes hexapterus",11
"314","Winter1","Cattail","Clupea pallasii",0
"315","Winter1","Cattail","Engraulis mordax",6
"316","Winter1","Cattail","Cymatogaster aggregata",4
"317","Winter1","Cattail","Gasterosteus aculeatus",2
"318","Winter1","Cattail","Hypomesus pretiosus",0
"319","Winter1","Cattail","Mallotus villosus",4
"320","Winter1","Cattail","Oncorhynchus tshawytscha",20
"321","Winter1","Cattail","Oncorhynchus nerka",0
"322","Winter1","Cattail","Oncorhynchus kisutch",1
"323","Winter1","Cattail","Oncorhynchus gorbuscha",13
"324","Winter1","Cattail","Ammodytes hexapterus",18
"325","Winter1","Cattail","Clupea pallasii",0
"326","Winter1","Cattail","Engraulis mordax",0
"327","Winter1","Cattail","Cymatogaster aggregata",22
"328","Winter1","Cattail","Gasterosteus aculeatus",10
"329","Winter1","Cattail","Hypomesus pretiosus",7
"330","Winter1","Cattail","Mallotus villosus",5
"331","Winter1","Grain of Sand","Oncorhynchus tshawytscha",4
"332","Winter1","Grain of Sand","Oncorhynchus nerka",1
"333","Winter1","Grain of Sand","Oncorhynchus kisutch",3
"334","Winter1","Grain of Sand","Oncorhynchus gorbuscha",3
"335","Winter1","Grain of Sand","Ammodytes hexapterus",0
"336","Winter1","Grain of Sand","Clupea pallasii",4
"337","Winter1","Grain of Sand","Engraulis mordax",4
"338","Winter1","Grain of Sand","Cymatogaster aggregata",4
"339","Winter1","Grain of Sand","Gasterosteus aculeatus",3
"340","Winter1","Grain of Sand","Hypomesus pretiosus",5
"341","Winter1","Grain of Sand","Mallotus villosus",3
"342","Winter1","Grain of Sand","Oncorhynchus tshawytscha",3
"343","Winter1","Grain of Sand","Oncorhynchus nerka",1
"344","Winter1","Grain of Sand","Oncorhynchus kisutch",1
"345","Winter1","Grain of Sand","Oncorhynchus gorbuscha",1
"346","Winter1","Grain of Sand","Ammodytes hexapterus",0
"347","Winter1","Grain of Sand","Clupea pallasii",7
"348","Winter1","Grain of Sand","Engraulis mordax",4
"349","Winter1","Grain of Sand","Cymatogaster aggregata",17
"350","Winter1","Grain of Sand","Gasterosteus aculeatus",5
"351","Winter1","Grain of Sand","Hypomesus pretiosus",2
"352","Winter1","Grain of Sand","Mallotus villosus",4
"353","Winter1","Grain of Sand","Oncorhynchus tshawytscha",5
"354","Winter1","Grain of Sand","Oncorhynchus nerka",1
"355","Winter1","Grain of Sand","Oncorhynchus kisutch",1
"356","Winter1","Grain of Sand","Oncorhynchus gorbuscha",1
"357","Winter1","Grain of Sand","Ammodytes hexapterus",1
"358","Winter1","Grain of Sand","Clupea pallasii",5
"359","Winter1","Grain of Sand","Engraulis mordax",2
"360","Winter1","Grain of Sand","Cymatogaster aggregata",6
"361","Winter1","Grain of Sand","Gasterosteus aculeatus",0
"362","Winter1","Grain of Sand","Hypomesus pretiosus",1
"363","Winter1","Grain of Sand","Mallotus villosus",5
"364","Winter1","Lone Tree Point","Oncorhynchus tshawytscha",15
"365","Winter1","Lone Tree Point","Oncorhynchus nerka",2
"366","Winter1","Lone Tree Point","Oncorhynchus kisutch",5
"367","Winter1","Lone Tree Point","Oncorhynchus gorbuscha",3
"368","Winter1","Lone Tree Point","Ammodytes hexapterus",2
"369","Winter1","Lone Tree Point","Clupea pallasii",1
