reagent,conc_init,conc_unit,conc_final,vol_25uL,vol_10uL,rxn_name
buffer,5,X,1,5,2,coral-ND4/MutS-ME
MgCl,25,mM,1.2,1.2,0.48,coral-ND4/MutS-ME
dNTP,10,mM,0.126,0.315,0.126,coral-ND4/MutS-ME
primer1,10,uM,0.1,0.25,0.1,coral-ND4/MutS-ME
primer2,10,uM,0.1,0.25,0.1,coral-ND4/MutS-ME
water,1,X,NA,14.685,5.074,coral-ND4/MutS-ME
taq,5,U/uL,0.06,0.3,0.12,coral-ND4/MutS-ME
template,1,X,NA,3,2,coral-ND4/MutS-ME
buffer,5,X,1,5,2,eDNA-porpoise-ME-1
MgCl,25,mM,1.2,1.2,0.48,eDNA-porpoise-ME-1
dNTP,10,mM,0.126,0.315,0.126,eDNA-porpoise-ME-1
primer1,10,uM,0.1,2.5,1,eDNA-porpoise-ME-1
primer2,10,uM,0.1,2.5,1,eDNA-porpoise-ME-1
BSA,1,X,0.4,1,0.4,eDNA-porpoise-ME-1
water,1,X,NA,6.185,0.874,eDNA-porpoise-ME-1
taq,5,U/uL,0.06,0.3,0.12,eDNA-porpoise-ME-1
template,1,X,NA,6,4,eDNA-porpoise-ME-1
buffer,5,X,1,5,2,eDNA-LindaRhodes
MgCl,25,mM,1.5,1.5,0.6,eDNA-LindaRhodes
dNTP,10,mM,0.25,0.625,0.25,eDNA-LindaRhodes
primer1,10,uM,0.4,1,0.4,eDNA-LindaRhodes
primer2,10,uM,0.4,1,0.4,eDNA-LindaRhodes
BSA,10,mg/ml,0.4,1,0.4,eDNA-LindaRhodes
taq,5,U/uL,0.0625,0.3125,0.125,eDNA-LindaRhodes
water,1,X,NA,12.5625,3.825,eDNA-LindaRhodes
template,1,X,NA,2,2,eDNA-LindaRhodes
buffer,5,X,1,5,2,eDNA-coral-ME
MgCl,25,mM,3,3,1.2,eDNA-coral-ME
dNTP,10,mM,0.2,0.5,0.2,eDNA-coral-ME
primer1,10,uM,0.2,0.5,0.2,eDNA-coral-ME
primer2,10,uM,0.2,0.5,0.2,eDNA-coral-ME
BSA,20,ug/uL,0.1,1.25,0.5,eDNA-coral-ME
water,1,X,NA,9,3.2,eDNA-coral-ME
taq,5,U/uL,0.05,1.25,0.5,eDNA-coral-ME
template,1,X,NA,4,2,eDNA-coral-ME
buffer,5,X,1,5,2,eDNA-porpoise-ME-2
MgCl,25,mM,1.5,1.5,0.6,eDNA-porpoise-ME-2
dNTP,10,mM,0.2,0.5,0.2,eDNA-porpoise-ME-2
primer1,10,uM,0.2,0.5,0.2,eDNA-porpoise-ME-2
primer2,10,uM,0.2,0.5,0.2,eDNA-porpoise-ME-2
BSA,20,ug/uL,0.1,1.25,0.5,eDNA-porpoise-ME-2
water,1,X,NA,10.5,3.8,eDNA-porpoise-ME-2
taq,5,U/uL,0.05,1.25,0.5,eDNA-porpoise-ME-2
template,1,X,NA,4,2,eDNA-porpoise-ME-2
buffer,5,X,1,5,2,eDNA-CYAG-Jimmy
MgCl,25,mM,1.5,1.5,0.6,eDNA-CYAG-Jimmy
dNTP,10,mM,0.2,0.5,0.2,eDNA-CYAG-Jimmy
primer1,10,uM,0.2,0.5,0.2,eDNA-CYAG-Jimmy
primer2,10,uM,0.2,0.5,0.2,eDNA-CYAG-Jimmy
water,1,X,NA,11.75,4.7,eDNA-CYAG-Jimmy
taq,5,U/uL,0.05,0.25,0.1,eDNA-CYAG-Jimmy
template,1,X,NA,5,2,eDNA-CYAG-Jimmy